sharpe,return_annual,volatility,max_dd,calmar,profit_factor,trades,win_rate,max_losing_streak,t_stat,significant,total_return,cost_total,symbol,strategy,status
-0.398,-0.089,0.223,-0.465,-0.191,0.88,128.0,0.399,8.0,-0.43,False,-0.324,0.2944,1928.HK,mean_reversion,ok
-0.092,-0.035,0.376,-0.439,-0.079,0.98,48.0,0.473,11.0,-0.16,False,-0.3,0.2185,1928.HK,momentum,ok
-0.647,-0.137,0.211,-0.418,-0.326,0.79,202.0,0.29,5.0,-0.7,False,-0.418,0.4646,1928.HK,breakout,ok
-0.382,-0.072,0.189,-0.399,-0.181,0.84,76.0,0.378,5.0,-0.31,False,-0.266,0.1748,1928.HK,rsi_reversal,ok
-0.039,-0.014,0.351,-0.438,-0.031,0.99,167.0,0.435,18.0,-0.07,False,-0.225,0.5405,1928.HK,multifactor,ok
-0.075,-0.011,0.145,-0.295,-0.037,0.96,102.0,0.328,5.0,-0.06,False,-0.071,0.2346,1928.HK,bollinger,ok
0.044,0.01,0.219,-0.439,0.022,1.01,100.0,0.419,6.0,0.05,False,-0.048,0.23,1211.HK,mean_reversion,ok
-0.097,-0.052,0.535,-0.704,-0.074,0.98,60.0,0.477,11.0,-0.18,False,-0.45,0.2737,1211.HK,momentum,ok
-1.439,-0.27,0.187,-0.661,-0.408,0.61,215.0,0.252,6.0,-1.54,False,-0.626,0.4945,1211.HK,breakout,ok
-0.232,-0.044,0.191,-0.402,-0.11,0.91,64.0,0.399,6.0,-0.19,False,-0.192,0.1472,1211.HK,rsi_reversal,ok
-0.672,-0.235,0.349,-0.714,-0.329,0.88,167.0,0.468,13.0,-1.18,False,-0.637,0.4991,1211.HK,multifactor,ok
-0.755,-0.101,0.133,-0.408,-0.246,0.69,93.0,0.348,5.0,-0.55,False,-0.312,0.2139,1211.HK,bollinger,ok
-0.081,-0.031,0.382,-0.621,-0.05,0.97,110.0,0.395,6.0,-0.08,False,-0.301,0.253,2269.HK,mean_reversion,ok
-0.248,-0.153,0.618,-0.814,-0.188,0.96,50.0,0.488,7.0,-0.45,False,-0.693,0.2277,2269.HK,momentum,ok
-0.874,-0.288,0.329,-0.725,-0.397,0.71,201.0,0.298,5.0,-0.92,False,-0.691,0.4646,2269.HK,breakout,ok
0.434,0.134,0.308,-0.446,0.3,1.23,76.0,0.394,4.0,0.35,False,0.346,0.1748,2269.HK,rsi_reversal,ok
0.31,0.181,0.583,-0.702,0.257,1.06,159.0,0.478,9.0,0.54,False,0.038,0.4899,2269.HK,multifactor,ok
-0.347,-0.099,0.285,-0.552,-0.179,0.84,102.0,0.299,7.0,-0.27,False,-0.379,0.2346,2269.HK,bollinger,ok
,,,,,,,,,,,,,9868.HK,N/A,fetch error: 500 Server Error: Internal Server Error 
-0.249,-0.059,0.236,-0.401,-0.147,0.91,102.0,0.371,6.0,-0.24,False,-0.258,0.2346,6862.HK,mean_reversion,ok
0.076,0.034,0.442,-0.641,0.052,1.01,56.0,0.507,8.0,0.14,False,-0.196,0.2553,6862.HK,momentum,ok
-1.044,-0.237,0.227,-0.632,-0.375,0.68,205.0,0.308,5.0,-1.14,False,-0.593,0.4715,6862.HK,breakout,ok
-0.158,-0.027,0.168,-0.179,-0.149,0.92,72.0,0.318,7.0,-0.11,False,-0.13,0.1656,6862.HK,rsi_reversal,ok
-0.102,-0.042,0.409,-0.574,-0.073,0.98,178.0,0.447,7.0,-0.18,False,-0.347,0.5451,6862.HK,multifactor,ok
-0.279,-0.046,0.165,-0.337,-0.137,0.86,97.0,0.326,4.0,-0.21,False,-0.186,0.2231,6862.HK,bollinger,ok
,,,,,,,,,,,,,0808.HK,N/A,fetch error: 500 Server Error: Internal Server Error 
,,,,,,,,,,,,,9869.HK,N/A,fetch error: 500 Server Error: Internal Server Error 
,,,,,,,,,,,,,1339.HK,N/A,fetch error: 500 Server Error: Internal Server Error 
,,,,,,,,,,,,,1359.HK,N/A,fetch error: 500 Server Error: Internal Server Error 
,,,,,,,,,,,,,1138.HK,N/A,fetch error: 500 Server Error: Internal Server Error 
,,,,,,,,,,,,,1336.HK,N/A,fetch error: 500 Server Error: Internal Server Error 
,,,,,,,,,,,,,1368.HK,N/A,fetch error: 500 Server Error: Internal Server Error 
,,,,,,,,,,,,,2012.HK,N/A,fetch error: 500 Server Error: Internal Server Error 
,,,,,,,,,,,,,2513.HK,N/A,fetch error: 500 Server Error: Internal Server Error 
,,,,,,,,,,,,,2119.HK,N/A,fetch error: 500 Server Error: Internal Server Error 
,,,,,,,,,,,,,1530.HK,N/A,fetch error: 500 Server Error: Internal Server Error 
,,,,,,,,,,,,,1816.HK,N/A,fetch error: 500 Server Error: Internal Server Error 
,,,,,,,,,,,,,6098.HK,N/A,fetch error: 500 Server Error: Internal Server Error 
-0.786,-0.086,0.11,-0.317,-0.272,0.77,108.0,0.351,9.0,-0.8,False,-0.271,0.2484,2388.HK,mean_reversion,ok
-0.823,-0.18,0.219,-0.537,-0.335,0.87,61.0,0.472,9.0,-1.47,False,-0.502,0.2783,2388.HK,momentum,ok
-2.243,-0.228,0.102,-0.549,-0.415,0.49,216.0,0.266,6.0,-2.45,True,-0.549,0.4968,2388.HK,breakout,ok
-0.764,-0.063,0.083,-0.203,-0.31,0.73,76.0,0.302,7.0,-0.63,False,-0.203,0.1748,2388.HK,rsi_reversal,ok
-1.009,-0.205,0.204,-0.582,-0.353,0.83,170.0,0.439,11.0,-1.76,False,-0.538,0.4899,2388.HK,multifactor,ok
-0.367,-0.023,0.064,-0.111,-0.212,0.83,104.0,0.282,4.0,-0.26,False,-0.083,0.2392,2388.HK,bollinger,ok
-0.76,-0.182,0.24,-0.578,-0.315,0.77,118.0,0.399,6.0,-0.84,False,-0.513,0.2714,2628.HK,mean_reversion,ok
0.416,0.171,0.412,-0.564,0.304,1.08,46.0,0.482,8.0,0.75,False,0.343,0.2047,2628.HK,momentum,ok
-0.298,-0.069,0.23,-0.397,-0.173,0.9,208.0,0.313,6.0,-0.33,False,-0.279,0.4784,2628.HK,breakout,ok
-0.551,-0.118,0.214,-0.522,-0.227,0.78,84.0,0.395,6.0,-0.48,False,-0.382,0.1932,2628.HK,rsi_reversal,ok
-0.558,-0.218,0.391,-0.663,-0.329,0.9,162.0,0.424,9.0,-0.97,False,-0.636,0.4899,2628.HK,multifactor,ok
-0.809,-0.165,0.204,-0.5,-0.329,0.65,110.0,0.309,6.0,-0.65,False,-0.469,0.253,2628.HK,bollinger,ok
