symbol,strategy,sharpe,return,max_dd,win_rate,trades,bnh_sharpe,bnh_return,bnh_dd,alpha
1299.HK,放量+南北水,-0.527,-0.255,-0.364,0.416,89,-0.009,-0.077,-0.486,-0.518
1113.HK,南北水流入,-0.945,-0.446,-0.566,0.459,148,0.099,0.093,-0.376,-1.044
1113.HK,南北水動量,-1.277,-0.479,-0.567,0.417,103,0.099,0.093,-0.376,-1.376
1113.HK,放量+南北水,-1.022,-0.285,-0.308,0.4,80,0.099,0.093,-0.376,-1.121
1398.HK,南北水流入,-0.226,-0.095,-0.254,0.473,148,0.999,1.147,-0.218,-1.225
1398.HK,南北水動量,0.219,0.194,-0.222,0.495,101,0.999,1.147,-0.218,-0.78
1398.HK,放量+南北水,-0.647,-0.151,-0.311,0.462,91,0.999,1.147,-0.218,-1.646
1378.HK,南北水流入,0.359,0.379,-0.551,0.484,155,0.962,2.472,-0.435,-0.604
1378.HK,南北水動量,0.198,0.161,-0.496,0.524,105,0.962,2.472,-0.435,-0.764
1378.HK,放量+南北水,0.039,0.018,-0.283,0.455,99,0.962,2.472,-0.435,-0.924
1810.HK,南北水流入,0.275,0.241,-0.504,0.438,153,0.692,1.226,-0.591,-0.417
1810.HK,南北水動量,-0.267,-0.273,-0.346,0.49,102,0.692,1.226,-0.591,-0.959
1810.HK,放量+南北水,-0.888,-0.544,-0.595,0.363,91,0.692,1.226,-0.591,-1.579
1997.HK,南北水流入,-0.859,-0.583,-0.684,0.47,149,-0.389,-0.413,-0.609,-0.47
1997.HK,南北水動量,-0.902,-0.51,-0.645,0.423,104,-0.389,-0.413,-0.609,-0.513
1997.HK,放量+南北水,-1.639,-0.633,-0.66,0.421,107,-0.389,-0.413,-0.609,-1.25
2388.HK,南北水流入,-0.226,-0.092,-0.365,0.442,147,1.021,1.193,-0.31,-1.247
2388.HK,南北水動量,-0.312,-0.104,-0.351,0.455,101,1.021,1.193,-0.31,-1.334
2388.HK,放量+南北水,-1.143,-0.306,-0.328,0.43,86,1.021,1.193,-0.31,-2.164
2382.HK,南北水流入,-0.223,-0.42,-0.656,0.481,154,0.092,-0.193,-0.702,-0.315
2382.HK,南北水動量,-0.754,-0.66,-0.726,0.45,111,0.092,-0.193,-0.702,-0.846
2382.HK,放量+南北水,-0.355,-0.291,-0.384,0.369,84,0.092,-0.193,-0.702,-0.447
2628.HK,南北水流入,0.196,0.142,-0.384,0.434,152,0.795,1.54,-0.447,-0.599
2628.HK,南北水動量,-0.233,-0.264,-0.551,0.449,107,0.795,1.54,-0.447,-1.028
2628.HK,放量+南北水,0.568,0.571,-0.237,0.465,86,0.795,1.54,-0.447,-0.227
9888.HK,南北水流入,-0.198,-0.335,-0.644,0.484,155,0.138,-0.042,-0.535,-0.336
9888.HK,南北水動量,-0.592,-0.509,-0.673,0.476,105,0.138,-0.042,-0.535,-0.73
9888.HK,放量+南北水,0.122,0.106,-0.382,0.467,75,0.138,-0.042,-0.535,-0.015
9988.HK,南北水流入,-0.319,-0.419,-0.556,0.444,151,0.259,0.177,-0.442,-0.579
9988.HK,南北水動量,-0.578,-0.484,-0.622,0.421,107,0.259,0.177,-0.442,-0.837
9988.HK,放量+南北水,-0.553,-0.409,-0.45,0.458,83,0.259,0.177,-0.442,-0.812
2318.HK,南北水流入,-0.577,-0.513,-0.663,0.401,152,0.239,0.184,-0.514,-0.816
2318.HK,南北水動量,-0.73,-0.497,-0.579,0.406,106,0.239,0.184,-0.514,-0.97
2318.HK,放量+南北水,-0.555,-0.324,-0.387,0.389,90,0.239,0.184,-0.514,-0.794
1928.HK,南北水流入,-0.59,-0.53,-0.679,0.431,153,-0.366,-0.463,-0.584,-0.224
1928.HK,南北水動量,-1.303,-0.705,-0.736,0.458,107,-0.366,-0.463,-0.584,-0.937
1928.HK,放量+南北水,-0.013,0.008,-0.365,0.5,88,-0.366,-0.463,-0.584,0.353
2020.HK,南北水流入,-0.597,-0.502,-0.576,0.47,151,-0.117,-0.236,-0.474,-0.48
2020.HK,南北水動量,-0.523,-0.373,-0.487,0.437,103,-0.117,-0.236,-0.474,-0.406
2020.HK,放量+南北水,-0.447,-0.252,-0.429,0.414,87,-0.117,-0.236,-0.474,-0.33
2015.HK,南北水流入,-0.609,-0.707,-0.767,0.417,151,-0.131,-0.48,-0.718,-0.479
2015.HK,南北水動量,-0.746,-0.685,-0.764,0.402,107,-0.131,-0.48,-0.718,-0.615
2015.HK,放量+南北水,-1.064,-0.711,-0.744,0.302,86,-0.131,-0.48,-0.718,-0.933
2269.HK,南北水流入,-0.327,-0.624,-0.845,0.421,159,-0.004,-0.445,-0.861,-0.322
2269.HK,南北水動量,-0.647,-0.69,-0.77,0.364,110,-0.004,-0.445,-0.861,-0.643
2269.HK,放量+南北水,-0.427,-0.472,-0.567,0.434,83,-0.004,-0.445,-0.861,-0.423
3988.HK,南北水流入,-0.11,-0.014,-0.212,0.483,147,1.195,1.351,-0.173,-1.305
3988.HK,南北水動量,-0.053,0.041,-0.213,0.495,101,1.195,1.351,-0.173,-1.249
3988.HK,放量+南北水,-0.735,-0.179,-0.209,0.477,88,1.195,1.351,-0.173,-1.93
2313.HK,南北水流入,-0.688,-0.598,-0.651,0.45,149,-0.279,-0.439,-0.586,-0.409
2313.HK,南北水動量,-0.217,-0.204,-0.332,0.481,104,-0.279,-0.439,-0.586,0.063
2313.HK,放量+南北水,-0.952,-0.558,-0.59,0.378,90,-0.279,-0.439,-0.586,-0.673
3690.HK,南北水流入,-0.3,-0.467,-0.607,0.458,153,-0.364,-0.597,-0.672,0.064
3690.HK,南北水動量,-0.924,-0.707,-0.711,0.358,106,-0.364,-0.597,-0.672,-0.56
3690.HK,放量+南北水,-0.27,-0.279,-0.458,0.436,78,-0.364,-0.597,-0.672,0.094
2319.HK,南北水流入,-0.802,-0.654,-0.704,0.425,153,-0.398,-0.514,-0.678,-0.404
2319.HK,南北水動量,-1.433,-0.764,-0.778,0.425,106,-0.398,-0.514,-0.678,-1.034
