symbol,strategy,sharpe,return,max_dd,win_rate,trades,bnh_sharpe,bnh_return,bnh_dd,alpha,days
2628.HK,牛熊順向,-1.111,-0.053,-0.127,0.5,2,-0.448,-0.026,-0.127,-0.663,33
9888.HK,牛熊逆向,-3.751,-0.047,-0.047,0.0,1,-1.351,-0.09,-0.238,-2.4,33
9888.HK,牛熊順向,-1.506,-0.096,-0.225,0.5,2,-1.351,-0.09,-0.238,-0.155,33
9988.HK,牛熊逆向,-4.258,-0.033,-0.033,0.0,1,-4.041,-0.203,-0.256,-0.216,33
9988.HK,牛熊順向,-3.877,-0.195,-0.249,0.0,3,-4.041,-0.203,-0.256,0.165,33
2318.HK,牛熊逆向,-2.217,-0.019,-0.026,0.0,1,-5.925,-0.149,-0.184,3.708,33
2318.HK,牛熊順向,-5.829,-0.14,-0.171,0.0,3,-5.925,-0.149,-0.184,0.095,33
1928.HK,牛熊逆向,-4.005,-0.04,-0.04,0.0,1,-2.983,-0.101,-0.15,-1.022,33
1928.HK,牛熊順向,-2.163,-0.072,-0.123,0.0,2,-2.983,-0.101,-0.15,0.82,33
2020.HK,牛熊逆向,-4.231,-0.043,-0.043,0.0,1,-4.63,-0.115,-0.087,0.399,33
2020.HK,牛熊順向,-2.461,-0.048,-0.055,0.0,2,-4.63,-0.115,-0.087,2.169,33
2015.HK,牛熊逆向,-4.139,-0.022,-0.022,0.0,1,-3.571,-0.259,-0.323,-0.569,33
2015.HK,牛熊順向,-3.482,-0.255,-0.324,0.0,4,-3.571,-0.259,-0.323,0.089,33
2269.HK,牛熊逆向,-3.735,-0.039,-0.039,0.0,1,-1.812,-0.108,-0.155,-1.923,33
2269.HK,牛熊順向,-0.817,-0.054,-0.146,0.667,3,-1.812,-0.108,-0.155,0.995,33
3988.HK,牛熊逆向,-5.705,-0.015,-0.015,0.0,1,1.388,0.035,-0.047,-7.093,33
3988.HK,牛熊順向,1.912,0.048,-0.039,0.5,2,1.388,0.035,-0.047,0.524,33
2313.HK,牛熊逆向,-4.082,-0.039,-0.039,0.0,1,-2.763,-0.101,-0.117,-1.319,33
2313.HK,牛熊順向,-1.556,-0.056,-0.096,0.0,2,-2.763,-0.101,-0.117,1.207,33
3690.HK,牛熊逆向,-2.855,-0.038,-0.04,0.0,1,-2.351,-0.15,-0.18,-0.504,33
3690.HK,牛熊順向,-4.762,-0.18,-0.216,0.0,3,-2.351,-0.15,-0.18,-2.411,33
2319.HK,牛熊逆向,-3.632,-0.024,-0.024,0.0,1,-2.538,-0.099,-0.136,-1.094,33
2319.HK,牛熊順向,-2.598,-0.101,-0.147,0.333,3,-2.538,-0.099,-0.136,-0.06,33
2899.HK,牛熊逆向,2.129,0.057,-0.009,1.0,1,-1.391,-0.104,-0.25,3.521,33
2899.HK,牛熊順向,-3.3,-0.18,-0.272,0.25,4,-1.391,-0.104,-0.25,-1.909,33
3968.HK,牛熊逆向,-0.835,-0.0,-0.008,0.0,1,0.005,0.002,-0.055,-0.839,33
3968.HK,牛熊順向,-0.497,-0.01,-0.052,0.5,2,0.005,0.002,-0.055,-0.502,33
9618.HK,牛熊逆向,-4.591,-0.013,-0.013,0.0,1,-1.225,-0.068,-0.163,-3.366,33
9618.HK,牛熊順向,-1.081,-0.061,-0.163,0.0,2,-1.225,-0.068,-0.163,0.144,33
