date,mutual_type,type_name,net_buy,buy,sell,total,fund_inflow,quota_balance,accum_buy
2014-12-17,2,南向_港股通滬,333.27,680.58,347.31,1027.89,-10170.0,10170.0,11311.34
2014-12-17,5,合計,489.08,3573.24,3084.16,6657.4,648.0,12352.0,64015.73
2014-12-17,6,006,333.27,680.58,347.31,1027.89,-10170.0,10170.0,11311.34
2014-12-18,1,北向_滬股通,1829.88,3448.56,1618.68,5067.24,1908.0,11092.0,65845.61
2014-12-18,2,南向_港股通滬,412.97,686.11,273.14,959.25,-10102.0,10102.0,11724.31
2014-12-18,5,合計,1829.88,3448.56,1618.68,5067.24,1908.0,11092.0,65845.61
2014-12-18,6,006,412.97,686.11,273.14,959.25,-10102.0,10102.0,11724.31
2014-12-19,1,北向_滬股通,862.22,2939.61,2077.39,5017.0,1071.0,11929.0,66707.83
2014-12-19,2,南向_港股通滬,227.43,670.64,443.21,1113.85,-10252.0,10252.0,11951.74
2014-12-19,5,合計,862.22,2939.61,2077.39,5017.0,1071.0,11929.0,66707.83
2014-12-19,6,006,227.43,670.64,443.21,1113.85,-10252.0,10252.0,11951.74
2014-12-22,1,北向_滬股通,1323.83,3953.61,2629.78,6583.39,1428.0,11572.0,68031.66
2014-12-22,2,南向_港股通滬,368.57,763.6,395.03,1158.63,-10132.0,10132.0,12320.31
2014-12-22,5,合計,1323.83,3953.61,2629.78,6583.39,1428.0,11572.0,68031.66
2014-12-22,6,006,368.57,763.6,395.03,1158.63,-10132.0,10132.0,12320.31
2014-12-23,1,北向_滬股通,586.68,3002.52,2415.84,5418.36,653.0,12347.0,68618.34
2014-12-23,2,南向_港股通滬,551.39,762.78,211.39,974.17,-9984.0,9984.0,12871.7
2014-12-23,5,合計,586.68,3002.52,2415.84,5418.36,653.0,12347.0,68618.34
2014-12-23,6,006,551.39,762.78,211.39,974.17,-9984.0,9984.0,12871.7
2014-12-24,2,南向_港股通滬,276.46,368.48,92.02,460.5,-10208.0,10208.0,13148.16
2014-12-24,6,006,276.46,368.48,92.02,460.5,-10208.0,10208.0,13148.16
2014-12-29,1,北向_滬股通,669.12,3451.54,2782.42,6233.96,750.0,12250.0,69287.46
2014-12-29,5,合計,669.12,3451.54,2782.42,6233.96,750.0,12250.0,69287.46
2014-12-30,1,北向_滬股通,-696.15,1424.77,2120.92,3545.69,-630.0,13630.0,68591.31
2014-12-30,5,合計,-696.15,1424.77,2120.92,3545.69,-630.0,13630.0,68591.31
2014-12-31,1,北向_滬股通,-20.84,2133.2,2154.04,4287.24,2312.0,10688.0,68570.47
2014-12-31,5,合計,-20.84,2133.2,2154.04,4287.24,2312.0,10688.0,68570.47
2015-01-05,1,北向_滬股通,2002.27,4000.6,1998.33,5998.93,4689.0,8311.0,70572.74
2015-01-05,2,南向_港股通滬,1935.74,2596.9,661.16,3258.06,-8770.0,8770.0,15083.9
2015-01-05,5,合計,2002.27,4000.6,1998.33,5998.93,4689.0,8311.0,70572.74
2015-01-05,6,006,1935.74,2596.9,661.16,3258.06,-8770.0,8770.0,15083.9
2015-01-06,1,北向_滬股通,-23.15,3240.49,3263.64,6504.13,2091.0,10909.0,70549.59
2015-01-06,2,南向_港股通滬,1046.46,1411.14,364.68,1775.82,-9532.0,9532.0,16130.36
2015-01-06,5,合計,-23.15,3240.49,3263.64,6504.13,2091.0,10909.0,70549.59
2015-01-06,6,006,1046.46,1411.14,364.68,1775.82,-9532.0,9532.0,16130.36
2015-01-07,1,北向_滬股通,342.08,2043.4,1701.32,3744.72,1753.0,11247.0,70891.67
2015-01-07,2,南向_港股通滬,940.6,1300.96,360.36,1661.32,-9591.0,9591.0,17070.96
2015-01-07,5,合計,342.08,2043.4,1701.32,3744.72,1753.0,11247.0,70891.67
2015-01-07,6,006,940.6,1300.96,360.36,1661.32,-9591.0,9591.0,17070.96
2015-01-08,1,北向_滬股通,57.83,2231.42,2173.59,4405.01,1078.0,11922.0,70949.5
2015-01-08,2,南向_港股通滬,621.25,994.83,373.58,1368.41,-9863.0,9863.0,17692.21
2015-01-08,5,合計,57.83,2231.42,2173.59,4405.01,1078.0,11922.0,70949.5
2015-01-08,6,006,621.25,994.83,373.58,1368.41,-9863.0,9863.0,17692.21
2015-01-09,1,北向_滬股通,1453.18,3470.07,2016.89,5486.96,1617.0,11383.0,72402.68
2015-01-09,2,南向_港股通滬,845.83,1411.46,565.63,1977.09,-9698.0,9698.0,18538.04
2015-01-09,5,合計,1453.18,3470.07,2016.89,5486.96,1617.0,11383.0,72402.68
2015-01-09,6,006,845.83,1411.46,565.63,1977.09,-9698.0,9698.0,18538.04
2015-01-12,1,北向_滬股通,-1273.47,2164.52,3437.99,5602.51,-1133.0,14133.0,71129.21
2015-01-12,2,南向_港股通滬,937.83,1316.79,378.96,1695.75,-9630.0,9630.0,19475.87
2015-01-12,5,合計,-1273.47,2164.52,3437.99,5602.51,-1133.0,14133.0,71129.21
2015-01-12,6,006,937.83,1316.79,378.96,1695.75,-9630.0,9630.0,19475.87
2015-01-13,1,北向_滬股通,-250.69,1572.69,1823.38,3396.07,-116.0,13116.0,70878.52
2015-01-13,2,南向_港股通滬,645.72,941.19,295.47,1236.66,-9874.0,9874.0,20121.59
2015-01-13,5,合計,-250.69,1572.69,1823.38,3396.07,-116.0,13116.0,70878.52
2015-01-13,6,006,645.72,941.19,295.47,1236.66,-9874.0,9874.0,20121.59
2015-01-14,1,北向_滬股通,593.84,2181.87,1588.03,3769.9,721.0,12279.0,71472.36
2015-01-14,2,南向_港股通滬,748.1,1021.08,272.98,1294.06,-9822.0,9822.0,20869.69
2015-01-14,5,合計,593.84,2181.87,1588.03,3769.9,721.0,12279.0,71472.36
2015-01-14,6,006,748.1,1021.08,272.98,1294.06,-9822.0,9822.0,20869.69
2015-01-15,1,北向_滬股通,705.23,2791.48,2086.25,4877.73,1008.0,11992.0,72177.59
2015-01-15,2,南向_港股通滬,598.14,818.15,220.01,1038.16,-9930.0,9930.0,21467.83
2015-01-15,5,合計,705.23,2791.48,2086.25,4877.73,1008.0,11992.0,72177.59
2015-01-15,6,006,598.14,818.15,220.01,1038.16,-9930.0,9930.0,21467.83
2015-01-16,1,北向_滬股通,126.76,2478.15,2351.39,4829.54,422.0,12578.0,72304.35
2015-01-16,2,南向_港股通滬,1045.11,1355.99,310.88,1666.87,-9531.0,9531.0,22512.94
2015-01-16,5,合計,126.76,2478.15,2351.39,4829.54,422.0,12578.0,72304.35
2015-01-16,6,006,1045.11,1355.99,310.88,1666.87,-9531.0,9531.0,22512.94
2015-01-19,1,北向_滬股通,-343.06,2619.13,2962.19,5581.32,-327.0,13327.0,71961.29
2015-01-19,2,南向_港股通滬,871.33,1327.46,456.13,1783.59,-9676.0,9676.0,23384.27
2015-01-19,5,合計,-343.06,2619.13,2962.19,5581.32,-327.0,13327.0,71961.29
2015-01-19,6,006,871.33,1327.46,456.13,1783.59,-9676.0,9676.0,23384.27
2015-01-20,1,北向_滬股通,2145.23,4935.84,2790.61,7726.45,2424.0,10576.0,74106.52
2015-01-20,2,南向_港股通滬,627.91,965.47,337.56,1303.03,-9870.0,9870.0,24012.18
2015-01-20,5,合計,2145.23,4935.84,2790.61,7726.45,2424.0,10576.0,74106.52
2015-01-20,6,006,627.91,965.47,337.56,1303.03,-9870.0,9870.0,24012.18
2015-01-21,1,北向_滬股通,1925.66,4580.26,2654.6,7234.86,2135.0,10865.0,76032.18
2015-01-21,2,南向_港股通滬,990.85,1295.85,305.0,1600.85,-9560.0,9560.0,25003.03
2015-01-21,5,合計,1925.66,4580.26,2654.6,7234.86,2135.0,10865.0,76032.18
2015-01-21,6,006,990.85,1295.85,305.0,1600.85,-9560.0,9560.0,25003.03
2015-01-22,1,北向_滬股通,151.43,2786.55,2635.12,5421.67,250.0,12750.0,76183.61
2015-01-22,2,南向_港股通滬,549.47,943.71,394.24,1337.95,-9953.0,9953.0,25552.5
2015-01-22,5,合計,151.43,2786.55,2635.12,5421.67,250.0,12750.0,76183.61
2015-01-22,6,006,549.47,943.71,394.24,1337.95,-9953.0,9953.0,25552.5
2015-01-23,1,北向_滬股通,261.52,2723.63,2462.11,5185.74,424.0,12576.0,76445.13
2015-01-23,2,南向_港股通滬,499.83,904.03,404.2,1308.23,-9979.0,9979.0,26052.33
2015-01-23,5,合計,261.52,2723.63,2462.11,5185.74,424.0,12576.0,76445.13
2015-01-23,6,006,499.83,904.03,404.2,1308.23,-9979.0,9979.0,26052.33
2015-01-26,1,北向_滬股通,396.34,1752.06,1355.72,3107.78,587.0,12413.0,76841.47
2015-01-26,2,南向_港股通滬,651.31,992.71,341.4,1334.11,-9847.0,9847.0,26703.64
2015-01-26,5,合計,396.34,1752.06,1355.72,3107.78,587.0,12413.0,76841.47
2015-01-26,6,006,651.31,992.71,341.4,1334.11,-9847.0,9847.0,26703.64
2015-01-27,1,北向_滬股通,903.35,2702.14,1798.79,4500.93,1137.0,11863.0,77744.82
2015-01-27,2,南向_港股通滬,876.94,1248.56,371.62,1620.18,-9609.0,9609.0,27580.58
