strategy,params,total_return,sharpe,trades,win_rate
RSI,"(17, 20, 85)",0.41463957872631524,0.0,1,1.0
RSI,"(17, 25, 65)",-0.03785417694131138,0.0,1,0.0
RSI,"(17, 25, 70)",0.010725933468030548,0.0,1,1.0
RSI,"(17, 25, 75)",0.09527021652321921,0.0,1,1.0
RSI,"(17, 25, 80)",0.20441637367357635,0.0,1,1.0
RSI,"(17, 25, 85)",0.41463957872631524,0.0,1,1.0
RSI,"(17, 30, 65)",-0.03785417694131138,0.0,1,0.0
RSI,"(17, 30, 70)",0.010725933468030548,0.0,1,1.0
RSI,"(17, 30, 75)",0.09527021652321921,0.0,1,1.0
RSI,"(17, 30, 80)",0.20441637367357635,0.0,1,1.0
RSI,"(17, 30, 85)",0.41463957872631524,0.0,1,1.0
RSI,"(17, 35, 80)",0.20441637367357635,0.0,1,1.0
RSI,"(17, 35, 85)",0.41463957872631524,0.0,1,1.0
RSI,"(20, 15, 65)",-0.02018204867997744,0.0,1,0.0
RSI,"(20, 15, 70)",0.016514548163319397,0.0,1,1.0
RSI,"(20, 15, 75)",0.10214096897276048,0.0,1,1.0
RSI,"(20, 15, 80)",0.37137992405898845,0.0,1,1.0
RSI,"(20, 20, 65)",0.010725933468030548,0.0,1,1.0
RSI,"(20, 20, 70)",0.04858011040934175,0.0,1,1.0
RSI,"(20, 20, 75)",0.13690758388087232,0.0,1,1.0
RSI,"(20, 20, 80)",0.41463957872631524,0.0,1,1.0
RSI,"(20, 25, 65)",0.010725933468030548,0.0,1,1.0
RSI,"(20, 25, 70)",0.04858011040934175,0.0,1,1.0
RSI,"(20, 25, 75)",0.13690758388087232,0.0,1,1.0
RSI,"(20, 25, 80)",0.41463957872631524,0.0,1,1.0
RSI,"(20, 30, 65)",0.010725933468030548,0.0,1,1.0
RSI,"(20, 30, 70)",0.04858011040934175,0.0,1,1.0
RSI,"(20, 30, 75)",0.13690758388087232,0.0,1,1.0
RSI,"(20, 30, 80)",0.41463957872631524,0.0,1,1.0
RSI,"(20, 35, 80)",0.41463957872631524,0.0,1,1.0
RSI,"(23, 15, 65)",0.010725933468030548,0.0,1,1.0
RSI,"(23, 15, 70)",0.09527021652321921,0.0,1,1.0
RSI,"(23, 15, 75)",0.20441637367357635,0.0,1,1.0
RSI,"(23, 15, 80)",0.41463957872631524,0.0,1,1.0
RSI,"(23, 20, 65)",0.010725933468030548,0.0,1,1.0
RSI,"(23, 20, 70)",0.09527021652321921,0.0,1,1.0
RSI,"(23, 20, 75)",0.20441637367357635,0.0,1,1.0
RSI,"(23, 20, 80)",0.41463957872631524,0.0,1,1.0
RSI,"(23, 25, 65)",0.010725933468030548,0.0,1,1.0
RSI,"(23, 25, 70)",0.09527021652321921,0.0,1,1.0
RSI,"(23, 25, 75)",0.20441637367357635,0.0,1,1.0
RSI,"(23, 25, 80)",0.41463957872631524,0.0,1,1.0
RSI,"(23, 30, 65)",0.010725933468030548,0.0,1,1.0
RSI,"(23, 30, 70)",0.09527021652321921,0.0,1,1.0
RSI,"(23, 30, 75)",0.20441637367357635,0.0,1,1.0
RSI,"(23, 30, 80)",0.41463957872631524,0.0,1,1.0
RSI,"(23, 35, 75)",0.20441637367357635,0.0,1,1.0
RSI,"(23, 35, 80)",0.41463957872631524,0.0,1,1.0
RSI,"(26, 15, 65)",0.04858011040934175,0.0,1,1.0
RSI,"(26, 15, 70)",0.09527021652321921,0.0,1,1.0
RSI,"(26, 15, 75)",0.20441637367357635,0.0,1,1.0
RSI,"(26, 20, 65)",0.04858011040934175,0.0,1,1.0
RSI,"(26, 20, 70)",0.09527021652321921,0.0,1,1.0
RSI,"(26, 20, 75)",0.20441637367357635,0.0,1,1.0
RSI,"(26, 25, 65)",0.04858011040934175,0.0,1,1.0
RSI,"(26, 25, 70)",0.09527021652321921,0.0,1,1.0
RSI,"(26, 25, 75)",0.20441637367357635,0.0,1,1.0
RSI,"(26, 30, 65)",0.04858011040934175,0.0,1,1.0
RSI,"(26, 30, 70)",0.09527021652321921,0.0,1,1.0
RSI,"(26, 30, 75)",0.20441637367357635,0.0,1,1.0
RSI,"(26, 35, 65)",0.04858011040934175,0.0,1,1.0
RSI,"(26, 35, 70)",0.09527021652321921,0.0,1,1.0
RSI,"(26, 35, 75)",0.20441637367357635,0.0,1,1.0
RSI,"(29, 15, 65)",0.04858011040934175,0.0,1,1.0
RSI,"(29, 15, 70)",0.1495267034697805,0.0,1,1.0
RSI,"(29, 15, 75)",0.41463957872631524,0.0,1,1.0
RSI,"(29, 20, 65)",0.04858011040934175,0.0,1,1.0
RSI,"(29, 20, 70)",0.1495267034697805,0.0,1,1.0
RSI,"(29, 20, 75)",0.41463957872631524,0.0,1,1.0
RSI,"(29, 25, 65)",0.04858011040934175,0.0,1,1.0
RSI,"(29, 25, 70)",0.1495267034697805,0.0,1,1.0
RSI,"(29, 25, 75)",0.41463957872631524,0.0,1,1.0
RSI,"(29, 30, 65)",0.04858011040934175,0.0,1,1.0
RSI,"(29, 30, 70)",0.1495267034697805,0.0,1,1.0
RSI,"(29, 30, 75)",0.41463957872631524,0.0,1,1.0
RSI,"(29, 35, 65)",0.04858011040934175,0.0,1,1.0
RSI,"(29, 35, 70)",0.1495267034697805,0.0,1,1.0
RSI,"(29, 35, 75)",0.41463957872631524,0.0,1,1.0
RSI,"(32, 15, 65)",0.09527021652321921,0.0,1,1.0
RSI,"(32, 15, 70)",0.20441637367357635,0.0,1,1.0
RSI,"(32, 15, 75)",0.41463957872631524,0.0,1,1.0
