timestamp,cpu_percent,memory_percent
1763779884.9680526,5.3,27.2
1763779885.9757082,6.1,27.2
1763779886.976533,6.4,27.2
1763779887.9836845,6.3,27.2
1763779888.98791,7.6,27.2
1763779889.9950712,6.3,27.2
1763779891.0011907,7.4,27.2
1763779892.0163708,6.3,27.2
1763779893.0169075,7.3,27.2
1763779894.025998,5.5,27.2
1763779895.0264168,5.2,27.2
1763779896.02765,6.3,27.2
1763779897.031148,8.3,27.2
1763779898.0352118,5.7,27.2
1763779899.0380416,5.6,27.1
1763779900.0439055,6.2,27.1
1763779901.0477107,7.2,27.2
1763779902.0556087,7.9,27.2
1763779903.0587597,6.2,27.2
1763779904.0594425,7.0,27.2
1763779905.0761461,7.2,27.2
1763779906.0766652,6.6,27.2
1763779907.0815258,7.9,27.2
1763779908.0880458,5.4,27.2
1763779909.0889902,5.4,27.2
1763779910.0961826,6.5,27.2
1763779911.0981796,6.4,27.2
1763779912.1044438,6.6,27.2
1763779913.107262,6.0,27.2
1763779914.1095152,6.2,27.2
1763779915.1132274,6.3,27.2
1763779916.1148126,5.4,27.2
1763779917.1268797,6.6,27.2
1763779918.1296148,7.6,27.2
1763779919.1344395,5.9,27.1
1763779920.1417058,6.0,27.1
1763779921.1486704,5.9,27.1
1763779922.1509426,7.2,27.1
1763779923.1591675,6.5,27.1
1763779924.1607165,5.4,27.1
1763779925.1657019,5.3,27.1
1763779926.1763685,5.5,27.1
1763779927.1769526,6.9,27.1
1763779928.1786788,6.0,27.1
1763779929.1815965,5.8,27.1
1763779930.1916194,5.5,27.1
1763779931.1948469,6.0,27.1
1763779932.2059216,6.4,27.1
1763779933.2169697,5.7,27.1
1763779934.2181437,5.8,27.1
1763779935.2238262,5.7,27.1
1763779936.2325017,5.6,27.1
1763779937.2361145,6.7,27.1
1763779938.2378674,7.8,27.2
1763779939.2396293,5.5,27.2
1763779940.2446332,6.9,27.2
1763779941.2464855,7.0,27.2
1763779942.2527459,5.2,27.2
1763779943.2649648,6.5,27.2
1763779944.2654247,5.6,27.2
1763779945.2668898,5.9,27.2
1763779946.270009,7.1,27.2
1763779947.2816482,5.9,27.2
1763779948.2819324,6.6,27.2
1763779949.2899964,5.7,27.2
1763779950.2943063,6.2,27.2
1763779951.3018956,6.7,27.2
1763779952.30836,5.6,27.2
1763779953.3142626,5.8,27.2
1763779954.321561,5.6,27.2
1763779955.3222923,5.8,27.2
1763779956.3276124,9.1,27.2
