end_of_date,Unnamed: 0,cu_weakside,cu_strongside,disc_win_base_rate,hibor_overnight,hibor_fixing_1m,twi,opening_balance,closing_balance,market_activities,interest_payment,discount_window_reversal,discount_window_activities,intraday_movements_of_aggregate_balance_at_0930,intraday_movements_of_aggregate_balance_at_1000,intraday_movements_of_aggregate_balance_at_1100,intraday_movements_of_aggregate_balance_at_1200,intraday_movements_of_aggregate_balance_at_1500,intraday_movements_of_aggregate_balance_at_1600,forex_trans_t1,other_market_activities_t1,reversal_of_discount_window_t1,interest_payment_issuance_efbn_t1,forecast_aggregate_bal_t1,forex_trans_t2,other_market_activities_t2,reversal_of_discount_window_t2,interest_payment_issuance_efbn_t2,forecast_aggregate_bal_t2,forex_trans_t3,other_market_activities_t3,reversal_of_discount_window_t3,interest_payment_issuance_efbn_t3,forecast_aggregate_bal_t3,forex_trans_t4,other_market_activities_t4,reversal_of_discount_window_t4,interest_payment_issuance_efbn_t4,forecast_aggregate_bal_t4,forex_trans_u,other_market_activities_u,reversal_of_discount_window_u,interest_payment_issuance_efbn_u,forecast_aggregate_bal_u
2010-09-30,3739.0,7.85,7.75,0.5,0.04,0.23964,84.9,148670.0,148670.0,0.0,0.0,0.0,0.0,157680.0,158226.0,158979.0,173296.0,204405.0,218041.0,0.0,0.0,0.0,0.0,148670.0,0.0,0.0,0.0,0.0,148670.0,0.0,0.0,0.0,-12.0,148658.0,0.0,0.0,0.0,0.0,148612.0,0.0,0.0,0.0,-29.0,148629.0
2010-10-01,3739.0,7.85,7.75,0.5,0.04,0.23964,84.9,148670.0,148670.0,0.0,0.0,0.0,0.0,157680.0,158226.0,158979.0,173296.0,204405.0,218041.0,0.0,0.0,0.0,0.0,148670.0,0.0,0.0,0.0,0.0,148670.0,0.0,0.0,0.0,-12.0,148658.0,0.0,0.0,0.0,0.0,148612.0,0.0,0.0,0.0,-29.0,148629.0
2010-10-02,3739.0,7.85,7.75,0.5,0.04,0.23964,84.9,148670.0,148670.0,0.0,0.0,0.0,0.0,157680.0,158226.0,158979.0,173296.0,204405.0,218041.0,0.0,0.0,0.0,0.0,148670.0,0.0,0.0,0.0,0.0,148670.0,0.0,0.0,0.0,-12.0,148658.0,0.0,0.0,0.0,0.0,148612.0,0.0,0.0,0.0,-29.0,148629.0
2010-10-03,3739.0,7.85,7.75,0.5,0.04,0.23964,84.9,148670.0,148670.0,0.0,0.0,0.0,0.0,157680.0,158226.0,158979.0,173296.0,204405.0,218041.0,0.0,0.0,0.0,0.0,148670.0,0.0,0.0,0.0,0.0,148670.0,0.0,0.0,0.0,-12.0,148658.0,0.0,0.0,0.0,0.0,148612.0,0.0,0.0,0.0,-29.0,148629.0
2010-10-04,3738.0,7.85,7.75,0.5,0.05,0.24786,84.7,148670.0,148670.0,0.0,0.0,0.0,0.0,150820.0,161408.0,178340.0,180944.0,232985.0,231505.0,0.0,0.0,0.0,0.0,148670.0,0.0,0.0,0.0,-12.0,148658.0,0.0,0.0,0.0,0.0,148658.0,0.0,0.0,0.0,0.0,148612.0,0.0,0.0,0.0,-29.0,148629.0
2010-10-05,3737.0,7.85,7.75,0.5,0.04,0.24929,84.8,148670.0,148670.0,0.0,0.0,0.0,0.0,151240.0,151413.0,173936.0,183634.0,201763.0,205278.0,0.0,0.0,0.0,-6.0,148664.0,0.0,0.0,0.0,0.0,148664.0,0.0,0.0,0.0,0.0,148664.0,0.0,0.0,0.0,0.0,148612.0,0.0,0.0,0.0,-35.0,148629.0
2010-10-06,3736.0,7.85,7.75,0.5,0.03,0.25714,84.5,148670.0,148664.0,0.0,-6.0,0.0,0.0,153416.0,154214.0,171737.0,163631.0,209253.0,211599.0,0.0,0.0,0.0,0.0,148664.0,0.0,0.0,0.0,0.0,148664.0,0.0,0.0,0.0,0.0,148664.0,0.0,0.0,0.0,0.0,148664.0,0.0,0.0,0.0,-35.0,148629.0
2010-10-07,3735.0,7.85,7.75,0.5,0.03,0.25857,84.3,148664.0,148664.0,0.0,0.0,0.0,0.0,155762.0,156392.0,168513.0,169241.0,199276.0,200813.0,0.0,0.0,0.0,0.0,148664.0,0.0,0.0,0.0,0.0,148664.0,0.0,0.0,0.0,0.0,148664.0,0.0,0.0,0.0,0.0,148664.0,0.0,0.0,0.0,-35.0,148629.0
2010-10-08,3734.0,7.85,7.75,0.5,0.01,0.27571,84.4,148664.0,148664.0,0.0,0.0,0.0,0.0,155429.0,159492.0,168215.0,172323.0,192797.0,198329.0,0.0,0.0,0.0,0.0,148664.0,0.0,0.0,0.0,0.0,148664.0,0.0,0.0,0.0,17.0,148681.0,0.0,0.0,0.0,0.0,148664.0,0.0,0.0,0.0,-52.0,148629.0
2010-10-09,3734.0,7.85,7.75,0.5,0.01,0.27571,84.4,148664.0,148664.0,0.0,0.0,0.0,0.0,155429.0,159492.0,168215.0,172323.0,192797.0,198329.0,0.0,0.0,0.0,0.0,148664.0,0.0,0.0,0.0,0.0,148664.0,0.0,0.0,0.0,17.0,148681.0,0.0,0.0,0.0,0.0,148664.0,0.0,0.0,0.0,-52.0,148629.0
