end_of_date,Unnamed: 0,cert_of_indebt,gov_notes_coins_circulation,aggr_balance_bf_disc_win,aggr_balance_af_disc_win,outstanding_efbn,ow_lb_bf_disc_win,ow_lb_af_disc_win,mb_bf_disc_win_total
2023-05-08,631.0,599425.0,13136.0,44527.0,45371.0,1212690.0,1151190.0,1150343.0,1869778.0
2023-05-09,630.0,597395.0,13136.0,44527.0,44527.0,1212646.0,1151698.0,1151698.0,1867704.0
2023-05-10,629.0,596085.0,13136.0,44733.0,44733.0,1211781.0,1152302.0,1152302.0,1865735.0
2023-05-11,628.0,595905.0,13125.0,44733.0,44733.0,1211765.0,1151265.0,1151265.0,1865528.0
2023-05-12,627.0,599835.0,13124.0,44733.0,44733.0,1212355.0,1151674.0,1151674.0,1870047.0
2023-05-13,627.0,599835.0,13124.0,44733.0,44733.0,1212355.0,1151674.0,1151674.0,1870047.0
2023-05-14,627.0,599835.0,13124.0,44733.0,44733.0,1212355.0,1151674.0,1151674.0,1870047.0
2023-05-15,626.0,597525.0,13124.0,44733.0,44733.0,1212628.0,1151921.0,1151921.0,1868010.0
2023-05-16,625.0,595765.0,13125.0,44733.0,44733.0,1212440.0,1151373.0,1151373.0,1866063.0
2023-05-17,624.0,594795.0,13111.0,44822.0,44822.0,1212249.0,1149929.0,1149929.0,1864977.0
2023-05-18,623.0,594105.0,13111.0,44822.0,44822.0,1212124.0,1148261.0,1148261.0,1864162.0
2023-05-19,622.0,597775.0,13111.0,44822.0,44822.0,1211738.0,1147060.0,1147060.0,1867446.0
2023-05-20,622.0,597775.0,13111.0,44822.0,44822.0,1211738.0,1147060.0,1147060.0,1867446.0
2023-05-21,622.0,597775.0,13111.0,44822.0,44822.0,1211738.0,1147060.0,1147060.0,1867446.0
2023-05-22,621.0,595745.0,13111.0,44830.0,44830.0,1212272.0,1147395.0,1147395.0,1865958.0
2023-05-23,620.0,594905.0,13109.0,44872.0,44872.0,1212978.0,1147835.0,1147835.0,1865864.0
2023-05-24,619.0,595145.0,13109.0,44831.0,44831.0,1213679.0,1148237.0,1148237.0,1866764.0
2023-05-25,618.0,599595.0,13106.0,44832.0,44832.0,1213483.0,1146832.0,1146832.0,1871016.0
2023-05-26,618.0,599595.0,13106.0,44832.0,44832.0,1213483.0,1146832.0,1146832.0,1871016.0
2023-05-27,618.0,599595.0,13106.0,44832.0,44832.0,1213483.0,1146832.0,1146832.0,1871016.0
2023-05-28,618.0,599595.0,13106.0,44832.0,44832.0,1213483.0,1146832.0,1146832.0,1871016.0
2023-05-29,617.0,596815.0,13106.0,44840.0,48605.0,1213385.0,1145235.0,1141465.0,1868146.0
2023-05-30,616.0,595285.0,13106.0,44840.0,44840.0,1213650.0,1145700.0,1145700.0,1866881.0
2023-05-31,615.0,594725.0,13106.0,44800.0,44800.0,1214116.0,1148839.0,1148839.0,1866747.0
2023-06-01,614.0,594375.0,13103.0,44800.0,44800.0,1214306.0,1149073.0,1149073.0,1866584.0
2023-06-02,613.0,599215.0,13101.0,44810.0,44810.0,1214778.0,1147999.0,1147999.0,1871904.0
2023-06-03,613.0,599215.0,13101.0,44810.0,44810.0,1214778.0,1147999.0,1147999.0,1871904.0
2023-06-04,613.0,599215.0,13101.0,44810.0,44810.0,1214778.0,1147999.0,1147999.0,1871904.0
2023-06-05,612.0,596205.0,13101.0,44830.0,44830.0,1215254.0,1148833.0,1148833.0,1869390.0
2023-06-06,611.0,594855.0,13101.0,44830.0,44850.0,1215608.0,1148731.0,1148711.0,1868394.0
2023-06-07,610.0,593745.0,13099.0,44753.0,44753.0,1215764.0,1138168.0,1138168.0,1867361.0
2023-06-08,609.0,592975.0,13091.0,44764.0,44764.0,1215188.0,1151933.0,1151933.0,1866018.0
2023-06-09,608.0,597295.0,13090.0,44764.0,44764.0,1215412.0,1151278.0,1151278.0,1870561.0
2023-06-10,608.0,597295.0,13090.0,44764.0,44764.0,1215412.0,1151278.0,1151278.0,1870561.0
2023-06-11,608.0,597295.0,13090.0,44764.0,44764.0,1215412.0,1151278.0,1151278.0,1870561.0
2023-06-12,607.0,594465.0,13090.0,44764.0,44764.0,1215727.0,1151498.0,1151498.0,1868046.0
2023-06-13,606.0,593725.0,13088.0,44764.0,44764.0,1215997.0,1151826.0,1151826.0,1867574.0
2023-06-14,605.0,591995.0,13087.0,44676.0,45338.0,1215977.0,1153546.0,1152884.0,1865735.0
2023-06-15,604.0,591795.0,13084.0,44676.0,44676.0,1215787.0,1152701.0,1152701.0,1865342.0
2023-06-16,603.0,595375.0,13084.0,44676.0,44726.0,1215652.0,1152749.0,1152699.0,1868787.0
2023-06-17,603.0,595375.0,13084.0,44676.0,44726.0,1215652.0,1152749.0,1152699.0,1868787.0
2023-06-18,603.0,595375.0,13084.0,44676.0,44726.0,1215652.0,1152749.0,1152699.0,1868787.0
2023-06-19,602.0,593595.0,13083.0,44676.0,44676.0,1215899.0,1153491.0,1153491.0,1867253.0
2023-06-20,601.0,591825.0,13083.0,44676.0,44722.0,1216293.0,1154001.0,1153955.0,1865877.0
2023-06-21,600.0,592595.0,13081.0,44697.0,44697.0,1216416.0,1153394.0,1153394.0,1866789.0
2023-06-22,600.0,592595.0,13081.0,44697.0,44697.0,1216416.0,1153394.0,1153394.0,1866789.0
2023-06-23,599.0,594925.0,13081.0,44697.0,44697.0,1216642.0,1154943.0,1154943.0,1869345.0
2023-06-24,599.0,594925.0,13081.0,44697.0,44697.0,1216642.0,1154943.0,1154943.0,1869345.0
2023-06-25,599.0,594925.0,13081.0,44697.0,44697.0,1216642.0,1154943.0,1154943.0,1869345.0
2023-06-26,598.0,592005.0,13082.0,44697.0,44947.0,1217290.0,1155501.0,1155248.0,1867074.0
2023-06-27,597.0,590155.0,13082.0,44697.0,44697.0,1217582.0,1155699.0,1155699.0,1865516.0
2023-06-28,596.0,589715.0,13079.0,44895.0,44895.0,1217435.0,1158554.0,1158554.0,1865124.0
2023-06-29,595.0,590565.0,13075.0,44895.0,44915.0,1217532.0,1158285.0,1137801.0,1866067.0
2023-06-30,594.0,595445.0,13077.0,44895.0,45886.0,1217635.0,1156115.0,1155124.0,1871052.0
2023-07-01,594.0,595445.0,13077.0,44895.0,45886.0,1217635.0,1156115.0,1155124.0,1871052.0
2023-07-02,594.0,595445.0,13077.0,44895.0,45886.0,1217635.0,1156115.0,1155124.0,1871052.0
2023-07-03,593.0,592785.0,13077.0,44895.0,45192.0,1217933.0,1156287.0,1155990.0,1868690.0
2023-07-04,592.0,590705.0,13078.0,44895.0,44895.0,1218063.0,1156513.0,1156513.0,1866741.0
2023-07-05,591.0,589415.0,13078.0,45131.0,48233.0,1217834.0,1158438.0,1155326.0,1865458.0
2023-07-06,590.0,589585.0,13075.0,45131.0,45131.0,1217662.0,1157955.0,1157955.0,1865453.0
2023-07-07,589.0,593435.0,13075.0,45131.0,45131.0,1217982.0,1158210.0,1158210.0,1869623.0
2023-07-08,589.0,593435.0,13075.0,45131.0,45131.0,1217982.0,1158210.0,1158210.0,1869623.0
2023-07-09,589.0,593435.0,13075.0,45131.0,45131.0,1217982.0,1158210.0,1158210.0,1869623.0
2023-07-10,588.0,590715.0,13078.0,45131.0,45131.0,1218510.0,1156538.0,1156538.0,1867434.0
2023-07-11,587.0,589205.0,13080.0,45131.0,45131.0,1218734.0,1156149.0,1156149.0,1866150.0
2023-07-12,586.0,588085.0,13076.0,44950.0,44955.0,1219207.0,1155874.0,1155869.0,1865318.0
2023-07-13,585.0,587845.0,13076.0,44950.0,44950.0,1219350.0,1156538.0,1156538.0,1865221.0
2023-07-14,584.0,591685.0,13078.0,44950.0,44950.0,1219236.0,1156421.0,1156421.0,1868949.0
2023-07-15,584.0,591685.0,13078.0,44950.0,44950.0,1219236.0,1156421.0,1156421.0,1868949.0
2023-07-16,584.0,591685.0,13078.0,44950.0,44950.0,1219236.0,1156421.0,1156421.0,1868949.0
2023-07-17,583.0,591685.0,13078.0,44950.0,48835.0,1219673.0,1156959.0,1153065.0,1869386.0
2023-07-18,582.0,588055.0,13078.0,44950.0,44950.0,1219671.0,1156932.0,1156932.0,1865754.0
2023-07-19,581.0,587335.0,13079.0,44941.0,44941.0,1219714.0,1158773.0,1158773.0,1865069.0
2023-07-20,580.0,587325.0,13079.0,44941.0,44961.0,1219867.0,1159051.0,1159023.0,1865212.0
2023-07-21,579.0,590635.0,13080.0,44941.0,44941.0,1220018.0,1159306.0,1159306.0,1868674.0
2023-07-22,579.0,590635.0,13080.0,44941.0,44941.0,1220018.0,1159306.0,1159306.0,1868674.0
2023-07-23,579.0,590635.0,13080.0,44941.0,44941.0,1220018.0,1159306.0,1159306.0,1868674.0
2023-07-24,578.0,589755.0,13080.0,44941.0,44987.0,1220491.0,1159462.0,1159416.0,1868267.0
2023-07-25,577.0,588075.0,13078.0,44941.0,44941.0,1220619.0,1159486.0,1159486.0,1866713.0
