,end_of_date,cu_weakside,cu_strongside,disc_win_base_rate,hibor_overnight,hibor_fixing_1m,twi,opening_balance,closing_balance,market_activities,interest_payment,discount_window_reversal,discount_window_activities,intraday_movements_of_aggregate_balance_at_0930,intraday_movements_of_aggregate_balance_at_1000,intraday_movements_of_aggregate_balance_at_1100,intraday_movements_of_aggregate_balance_at_1200,intraday_movements_of_aggregate_balance_at_1500,intraday_movements_of_aggregate_balance_at_1600,forex_trans_t1,other_market_activities_t1,reversal_of_discount_window_t1,interest_payment_issuance_efbn_t1,forecast_aggregate_bal_t1,forex_trans_t2,other_market_activities_t2,reversal_of_discount_window_t2,interest_payment_issuance_efbn_t2,forecast_aggregate_bal_t2,forex_trans_t3,other_market_activities_t3,reversal_of_discount_window_t3,interest_payment_issuance_efbn_t3,forecast_aggregate_bal_t3,forex_trans_t4,other_market_activities_t4,reversal_of_discount_window_t4,interest_payment_issuance_efbn_t4,forecast_aggregate_bal_t4,forex_trans_u,other_market_activities_u,reversal_of_discount_window_u,interest_payment_issuance_efbn_u,forecast_aggregate_bal_u
31,2025-10-09,7.85,7.75,4.5,3.16,3.52036,104.2,54167,54167,+0,+0,-0,+0,93582,136252,160556,171085,189397.0,195329.0,+0,+0,-0,+0,54167,+0,+0,-0,+0,54167,+0,+0,-0,+0,54167,,,,,,+0,+0,-0,-856,53311
32,2025-10-08,7.85,7.75,4.5,3.23,3.55417,104.3,54147,54167,+0,+20,-0,+0,123711,133274,160934,181518,199165.0,202170.0,+0,+0,-0,+0,54167,+0,+0,-0,+0,54167,+0,+0,-0,+0,54167,+0,+0,-0,+0,54167.0,+0,+0,-0,-856,53311
33,2025-10-06,7.85,7.75,4.5,3.48,3.58667,104.1,54147,54147,+0,+0,-0,+0,78420,128890,158471,178840,187888.0,189241.0,+0,+0,-0,+20,54167,+0,+0,-0,+0,54167,+0,+0,-0,+0,54167,,,,,,+0,+0,-0,-856,53311
34,2025-10-03,7.85,7.75,4.5,3.45,3.51464,103.9,54147,54147,+0,+0,-0,+0,69303,134828,167344,196644,222064.0,225399.0,+0,+0,-0,+0,54147,+0,+0,-0,-42,54105,+0,+0,-0,+0,54105,,,,,,+0,+0,-0,-794,53311
35,2025-10-02,7.85,7.75,4.5,3.47,3.49685,103.9,54208,54147,+0,-61,-0,+0,95610,125127,176556,192550,212539.0,217546.0,+0,+0,-0,+0,54147,+0,+0,-0,+0,54147,+0,+0,-0,-42,54105,,,,,,+0,+0,-0,-794,53311
36,2025-09-30,7.85,7.75,4.5,4.62,3.53762,103.9,54208,54208,+0,+0,-0,+0,104669,148014,176312,188670,212770.0,211290.0,+0,+0,-0,-61,54147,+0,+0,-0,+0,54147,+0,+0,-0,+0,54147,,,,,,+0,+0,-0,-835,53311
37,2025-09-29,7.85,7.75,4.5,3.55,3.59804,103.8,54208,54208,+0,+0,-0,+0,91630,145369,178959,201140,241819.0,243106.0,+0,+0,-0,+0,54208,+0,+0,-0,-139,54068,+0,+0,-0,+0,54068,,,,,,+0,+0,-0,-757,53311
38,2025-09-26,7.85,7.75,4.5,3.68,3.60661,104.1,54208,54208,+0,+0,-0,+0,82654,133034,149874,183842,207549.0,212890.0,+0,+0,-0,+0,54208,+0,+0,-0,+0,54208,+0,+0,-0,-139,54068,,,,,,+0,+0,-0,-757,53311
39,2025-09-25,7.85,7.75,4.5,3.59,3.62202,103.9,55266,54208,+0,+216,-1274,+0,93431,143356,172293,207740,234909.0,238696.0,+0,+0,-0,+0,54208,+0,+0,-0,+0,54208,+0,+0,-0,+0,54208,,,,,,+0,+0,-0,-896,53311
40,2025-09-24,7.85,7.75,4.5,4.56,3.91107,103.7,54368,55266,+0,+0,-376,+1274,120199,138964,181270,199260,214493.0,215238.0,+0,+0,-1274,+216,54208,+0,+0,-0,+0,54208,+0,+0,-0,+0,54208,,,,,,+0,+0,-0,-896,53311
41,2025-09-23,7.85,7.75,4.5,4.33,3.91107,103.7,54032,54368,+0,+0,-40,+376,80177,135766,175261,202920,215720.0,228318.0,+0,+0,-376,+216,54208,+0,+0,-0,+0,54208,+0,+0,-0,+0,54208,,,,,,+0,+0,-0,-896,53311
42,2025-09-22,7.85,7.75,4.5,3.93,3.6131,103.8,53992,54032,+0,+0,-0,+40,90275,136812,180233,221999,235581.0,238987.0,+0,+0,-40,+0,53992,+0,+0,-0,+126,54118,+0,+0,-0,+0,54118,,,,,,+0,+0,-0,-807,53311
43,2025-09-19,7.85,7.75,4.5,3.15,3.41607,103.7,53992,53992,+0,+0,-0,+0,82161,129359,165482,196971,211045.0,218060.0,+0,+0,-0,+0,53992,+0,+0,-0,+0,53992,+0,+0,-0,+126,54118,,,,,,+0,+0,-0,-807,53311
44,2025-09-18,7.85,7.75,4.5,2.98,3.36089,103.5,53992,53992,+0,+0,-0,+0,94002,147079,165973,182988,215323.0,217267.0,+0,+0,-0,+0,53992,+0,+0,-0,+0,53992,+0,+0,-0,+0,53992,,,,,,+0,+0,-0,-680,53311
45,2025-09-17,7.85,7.75,4.75,2.79,3.21107,103.4,53983,53992,+0,+9,-0,+0,85116,134220,171979,193376,217675.0,220571.0,+0,+0,-0,+0,53992,+0,+0,-0,+0,53992,+0,+0,-0,+0,53992,,,,,,+0,+0,-0,-680,53311
46,2025-09-16,7.85,7.75,4.75,2.82,3.2175,103.5,53983,53983,+0,+0,-0,+0,88865,153291,176339,207453,221653.0,223282.0,+0,+0,-0,+9,53992,+0,+0,-0,+0,53992,+0,+0,-0,+0,53992,,,,,,+0,+0,-0,-680,53311
47,2025-09-15,7.85,7.75,4.75,2.97,3.19036,103.8,53983,53983,+0,+0,-0,+0,126912,143689,165547,186122,221436.0,222225.0,+0,+0,-0,+0,53983,+0,+0,-0,-54,53930,+0,+0,-0,+0,53930,,,,,,+0,+0,-0,-618,53311
48,2025-09-12,7.85,7.75,4.75,2.6,3.16196,103.6,53983,53983,+0,+0,-0,+0,88842,133975,162271,200404,216010.0,219216.0,+0,+0,-0,+0,53983,+0,+0,-0,+0,53983,+0,+0,-0,-54,53930,,,,,,+0,+0,-0,-618,53311
49,2025-09-11,7.85,7.75,4.75,2.38,3.0372,103.6,53983,53983,+0,+0,-0,+0,96173,138720,171087,202523,225141.0,228594.0,+0,+0,-0,+0,53983,+0,+0,-0,+0,53983,+0,+0,-0,+0,53983,,,,,,+0,+0,-0,-672,53311
50,2025-09-10,7.85,7.75,4.75,2.37,3.08625,103.6,53996,53983,+0,-13,-0,+0,83550,137199,171150,190398,214346.0,214610.0,+0,+0,-0,+0,53983,+0,+0,-0,+0,53983,+0,+0,-0,+0,53983,,,,,,+0,+0,-0,-672,53311
51,2025-09-09,7.85,7.75,4.75,2.5,3.04369,103.5,53996,53996,+0,+0,-0,+0,117117,130888,145249,178849,193713.0,195724.0,+0,+0,-0,-13,53983,+0,+0,-0,+0,53983,+0,+0,-0,+0,53983,,,,,,+0,+0,-0,-672,53311
52,2025-09-08,7.85,7.75,4.75,2.5,3.00018,103.6,53996,53996,+0,+0,-0,+0,113396,133814,161607,189577,213229.0,216696.0,+0,+0,-0,+0,53996,+0,+0,-0,-58,53938,+0,+0,-0,+0,53938,,,,,,+0,+0,-0,-627,53311
53,2025-09-05,7.85,7.75,4.75,2.36,3.00018,103.7,53996,53996,+0,+0,-0,+0,86686,133050,160871,197724,205102.0,210662.0,+0,+0,-0,+0,53996,+0,+0,-0,+0,53996,+0,+0,-0,-58,53938,,,,,,+0,+0,-0,-627,53311
54,2025-09-04,7.85,7.75,4.75,2.31,2.96702,103.8,53996,53996,+0,+0,-0,+0,87865,143420,155327,200828,215909.0,221468.0,+0,+0,-0,+0,53996,+0,+0,-0,+0,53996,+0,+0,-0,+0,53996,,,,,,+0,+0,-0,-685,53311
55,2025-09-03,7.85,7.75,4.75,2.2,2.84964,103.8,54061,53996,+0,-65,-0,+0,89142,138317,171180,190495,216832.0,221259.0,+0,+0,-0,+0,53996,+0,+0,-0,+0,53996,+0,+0,-0,+0,53996,,,,,,+0,+0,-0,-685,53311
56,2025-09-02,7.85,7.75,4.75,2.62,3.14816,103.6,55461,54061,+0,+0,-1400,+0,106936,155731,201446,224088,250773.0,259219.0,+0,+0,-0,-65,53996,+0,+0,-0,+0,53996,+0,+0,-0,+0,53996,,,,,,+0,+0,-0,-685,53311
57,2025-09-01,7.85,7.75,4.75,4.03,3.15345,103.6,54061,55461,+0,+0,-0,+1400,87457,130507,153302,166584,187289.0,186515.0,+0,+0,-1400,+0,54061,+0,+0,-0,+4,54066,+0,+0,-0,+0,54066,,,,,,+0,+0,-0,-754,53311
58,2025-08-29,7.85,7.75,4.75,3.56,3.29655,103.7,54061,54061,+0,+0,-0,+0,111747,179010,213067,238121,266394.0,268118.0,+0,+0,-0,+0,54061,+0,+0,-0,+0,54061,+0,+0,-0,+4,54066,,,,,,+0,+0,-0,-754,53311
59,2025-08-28,7.85,7.75,4.75,3.83,3.30649,103.6,54056,54061,+0,+5,-0,+0,128028,131046,175149,192678,219087.0,220259.0,+0,+0,-0,+0,54061,+0,+0,-0,+0,54061,+0,+0,-0,+0,54061,,,,,,+0,+0,-0,-750,53311
60,2025-08-27,7.85,7.75,4.75,3.11,3.2331,104.0,53948,54056,+0,+108,-0,+0,88891,149024,203237,223353,234136.0,237212.0,+0,+0,-0,+5,54061,+0,+0,-0,+0,54061,+0,+0,-0,+0,54061,+0,+0,-0,+0,54061.0,+0,+0,-0,-750,53311
61,2025-08-26,7.85,7.75,4.75,2.59,2.81464,103.7,53944,53948,+0,+5,-0,+0,82537,138849,171238,188142,204165.0,214120.0,+0,+0,-0,+108,54056,+0,+0,-0,+5,54061,+0,+0,-0,+0,54061,,,,,,+0,+0,-0,-750,53311
62,2025-08-25,7.85,7.75,4.75,2.54,2.7272,103.4,53877,53944,+0,+66,-0,+0,81746,136749,195113,205540,220430.0,221090.0,+0,+0,-0,+5,53948,+0,+0,-0,+11,53959,+0,+0,-0,+5,53964,,,,,,+0,+0,-0,-653,53311
63,2025-08-22,7.85,7.75,4.75,2.61,2.7706,103.8,53852,53877,+0,+25,-0,+0,93164,135396,186927,212164,226268.0,232163.0,+0,+0,-0,+66,53944,+0,+0,-0,+5,53948,+0,+0,-0,+11,53959,,,,,,+0,+0,-0,-648,53311
64,2025-08-21,7.85,7.75,4.75,2.57,2.84191,103.8,53909,53852,+0,+20,-77,+0,135052,160461,191677,212862,218382.0,223206.0,+0,+0,-0,+25,53877,+0,+0,-0,+54,53932,+0,+0,-0,+5,53936,,,,,,+0,+0,-0,-625,53311
65,2025-08-20,7.85,7.75,4.75,2.63,2.85774,103.8,53716,53909,+0,+116,-0,+77,101794,154010,211536,232978,246898.0,253558.0,+0,+0,-77,+20,53852,+0,+0,-0,+25,53877,+0,+0,-0,+54,53932,,,,,,+0,+0,-0,-620,53311
66,2025-08-19,7.85,7.75,4.75,2.63,2.57417,103.7,53716,53716,+0,+0,-0,+0,99100,139425,182277,212952,224312.0,231901.0,+0,+0,-0,+116,53832,+0,+0,-0,+20,53852,+0,+0,-0,+25,53877,,,,,,+0,+0,-0,-566,53311
67,2025-08-18,7.85,7.75,4.75,1.88,2.01393,103.4,53716,53716,+0,+0,-0,+0,90958,146220,177619,187667,202279.0,220602.0,+0,+0,-0,+0,53716,+0,+0,-0,-69,53647,+0,+0,-0,+20,53667,,,,,,+0,+0,-0,-355,53311
68,2025-08-15,7.85,7.75,4.75,0.83,1.45095,103.4,57091,53716,-3376,+0,-0,+0,94879,152070,182395,216672,231219.0,237158.0,+0,+0,-0,+0,53716,+0,+0,-0,+0,53716,+0,+0,-0,-69,53647,,,,,,+0,+0,-0,-335,53311
69,2025-08-14,7.85,7.75,4.75,0.32,1.04524,102.9,64156,57091,-7065,+0,-0,+0,145654,172145,205645,227010,244962.0,246022.0,-3376,+0,-0,+0,53716,+0,+0,-0,+0,53716,+0,+0,-0,+0,53716,,,,,,+0,+0,-0,-404,53311
70,2025-08-13,7.85,7.75,4.75,0.16,0.91036,103.0,64062,64156,+0,+94,-0,+0,132253,165397,195120,232651,242839.0,175347.0,-7065,+0,-0,+0,57091,-3376,+0,-0,+0,53716,+0,+0,-0,+0,53716,,,,,,+0,+0,-0,-404,53311
71,2025-08-12,7.85,7.75,4.75,0.15,0.90893,103.3,64062,64062,+0,+0,-0,+0,130545,167578,193885,205667,227586.0,230379.0,+0,+0,-0,+94,64156,-7065,+0,-0,+0,57091,+0,+0,-0,+0,57091,,,,,,+0,+0,-0,-404,56687
72,2025-08-11,7.85,7.75,4.75,0.15,0.95202,103.1,64062,64062,+0,+0,-0,+0,96111,159564,187622,212225,231308.0,239367.0,+0,+0,-0,+0,64062,+0,+0,-0,+58,64120,+0,+0,-0,+0,64120,,,,,,+0,+0,-0,-368,63752
73,2025-08-08,7.85,7.75,4.75,0.21,0.95893,103.1,72501,64062,-8439,+0,-0,+0,112187,169716,199872,210133,208707.0,212535.0,+0,+0,-0,+0,64062,+0,+0,-0,+0,64062,+0,+0,-0,+58,64120,,,,,,+0,+0,-0,-368,63752
74,2025-08-07,7.85,7.75,4.75,0.17,0.96494,103.0,72501,72501,+0,+0,-0,+0,107576,160445,191945,214363,229429.0,239115.0,-8439,+0,-0,+0,64062,+0,+0,-0,+0,64062,+0,+0,-0,+0,64062,,,,,,+0,+0,-0,-310,63752
75,2025-08-06,7.85,7.75,4.75,0.11,0.87774,103.3,79020,72501,-6429,-90,-0,+0,107306,154823,209223,230011,231733.0,232129.0,+0,+0,-0,+0,72501,-8439,+0,-0,+0,64062,+0,+0,-0,+0,64062,,,,,,+0,+0,-0,-310,63752
76,2025-08-05,7.85,7.75,4.75,0.12,0.93762,103.1,82552,79020,-3533,+0,-0,+0,155222,164521,210315,222465,241776.0,246103.0,-6429,+0,-0,-129,72461,+0,+0,-0,+0,72461,+0,+0,-0,+0,72461,,,,,,+0,+0,-0,-271,72191
77,2025-08-04,7.85,7.75,4.75,0.1,0.93762,103.1,82552,82552,+0,+0,-0,+0,116192,151651,199380,214739,227395.0,229592.0,-3533,+0,-0,+0,79020,-6429,+0,-0,-129,72461,+0,+0,-0,+0,72461,,,,,,+0,+0,-0,-271,72191
78,2025-08-01,7.85,7.75,4.75,0.14,0.9931,103.8,86558,82552,-3925,+0,-81,+0,130402,172355,214935,232763,254244.0,255829.0,+0,+0,-0,+0,82552,-3533,+0,-0,+0,79020,+0,+0,-0,-129,78890,,,,,,+0,+0,-0,-271,78620
79,2025-07-31,7.85,7.75,4.75,0.14,1.03363,103.4,86447,86558,+0,+0,-0,+81,128814,170913,214368,228656,238950.0,243586.0,-3925,+0,-81,+0,82552,+0,+0,-0,+0,82552,+0,+0,-0,+0,82552,,,,,,+0,+0,-0,-400,82152
80,2025-07-30,7.85,7.75,4.75,0.35,1.03244,103.1,86346,86477,+0,+131,-0,+0,141943,187227,226540,241468,253580.0,253757.0,+0,+0,-0,+0,86477,-3925,+0,-0,+0,82552,+0,+0,-0,+0,82552,,,,,,+0,+0,-0,-400,82152
81,2025-07-29,7.85,7.75,4.75,0.45,1.02143,103.2,86346,86346,+0,+0,-0,+0,131092,170711,199019,215801,225018.0,228591.0,+0,+0,-0,+131,86477,+0,+0,-0,+0,86477,+0,+0,-0,+0,86477,,,,,,+0,+0,-0,-400,86077
82,2025-07-28,7.85,7.75,4.75,0.52,1.02321,102.9,86346,86346,+0,+0,-0,+0,137045,182687,213666,223975,245968.0,246533.0,+0,+0,-0,+0,86346,+0,+0,-0,+18,86364,+0,+0,-0,+0,86364,,,,,,+0,+0,-0,-287,86077
83,2025-07-25,7.85,7.75,4.75,0.24,0.91679,102.8,86346,86346,+0,+0,-0,+0,142897,180717,235675,248707,254725.0,263079.0,+0,+0,-0,+0,86346,+0,+0,-0,+0,86346,+0,+0,-0,+18,86364,,,,,,+0,+0,-0,-287,86077
84,2025-07-24,7.85,7.75,4.75,0.18,0.89857,102.6,86366,86346,+0,+0,-20,+0,140030,190081,232285,261788,268664.0,270066.0,+0,+0,-0,+0,86346,+0,+0,-0,+0,86346,+0,+0,-0,+0,86346,,,,,,+0,+0,-0,-269,86077
85,2025-07-23,7.85,7.75,4.75,0.16,0.93817,102.8,86449,86366,+0,-83,-20,+20,135608,185073,234762,237704,242768.0,244509.0,+0,+0,-20,+0,86346,+0,+0,-0,+0,86346,+0,+0,-0,+0,86346,,,,,,+0,+0,-0,-269,86077
86,2025-07-22,7.85,7.75,4.75,0.17,0.92958,103.0,86429,86449,+0,+0,-0,+20,156990,168718,229452,248183,253925.0,255734.0,+0,+0,-20,-83,86346,+0,+0,-0,+0,86346,+0,+0,-0,+0,86346,,,,,,+0,+0,-0,-269,86077
87,2025-07-21,7.85,7.75,4.75,0.15,0.91036,103.0,86429,86429,+0,+0,-0,+0,137304,186362,234179,239211,251106.0,254173.0,+0,+0,-0,+0,86429,+0,+0,-0,+2,86431,+0,+0,-0,+0,86431,,,,,,+0,+0,-0,-353,86077
88,2025-07-18,7.85,7.75,4.75,0.1,1.07321,103.1,86429,86429,+0,+0,-0,+0,155638,166908,222608,229817,231975.0,234827.0,+0,+0,-0,+0,86429,+0,+0,-0,+0,86429,+0,+0,-0,+2,86431,,,,,,+0,+0,-0,-353,86077
89,2025-07-17,7.85,7.75,4.75,0.16,1.17726,103.2,101258,86429,-14829,+0,-0,+0,138242,192167,228470,238311,237900.0,240100.0,+0,+0,-0,+0,86429,+0,+0,-0,+0,86429,+0,+0,-0,+0,86429,,,,,,+0,+0,-0,-352,86077
90,2025-07-16,7.85,7.75,4.75,0.09,1.17482,103.1,101215,101258,+0,+43,-0,+0,153138,202859,240981,260345,266536.0,268486.0,-14829,+0,-0,+0,86429,+0,+0,-0,+0,86429,+0,+0,-0,+0,86429,,,,,,+0,+0,-0,-352,86077
91,2025-07-15,7.85,7.75,4.75,0.15,1.13905,103.0,101215,101215,+0,+0,-0,+0,142755,191358,225995,230595,240828.0,243188.0,+0,+0,-0,+43,101258,-14829,+0,-0,+0,86429,+0,+0,-0,+0,86429,,,,,,+0,+0,-0,-352,86077
